,OBJECTID,Shape,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,phone,WEBSITE,SCHOOL,Latitude,Longitude,school.search.name,schoolid,schoolName,url,urlCompare,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,isTitleISchoolwideSchool,rankMovement,locationIsWithinBoundary,isPrivate,privateDays,privateHours,privateHasLibrary,privateCoed,privateOrientation,hasBoundary,year,numberOfStudents,PercentFreeDiscLunch,PercentOfAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,PercentOfWhiteStudents,percentofTwoOrMoreRaceStudents,percentofUnspecifiedRaceStudents,teachersFulltime,PupilTeacherRatio,numberofAfricanAmericanStudents,numberofAsianStudents,numberofHispanicStudents,numberofIndianStudents,numberofPacificIslanderStudents,numberofWhiteStudents,numberofTwoOrMoreRaceStudents,numberofUnspecifiedRaceStudents,rankLevel,RankStatewidePercentage,averageStandardScore
11,12,"47.525264578000076, -122.27091962699996",South Lake,12-Sep,High School,8601 Rainier Ave. S,Seattle,98118,(206) 252-6600,http://southlakehs.seattleschools.org/,South Lake,47.52526458,-122.2709196,South+Lake,5.31E+11,South Lake High School,https://www.schooldigger.com/go/WA/schools/0771001234/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001234/search.aspx,9,12,High,No,(n/a),No,Yes,Yes,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,104,0.53,41.35,10.58,34.62,1.92,0,3.85,7.69,NA,9,11.5,43,11,36,2,0,4,8,NA,NA,NA,NA
12,13,"47.52517749500004, -122.34827728699997",Highland Park,K - 5,Elementary,1012 SW Trenton St.,Seattle,98106,(206) 252-8240,http://highlandparkes.seattleschools.org/,Highland Park,47.5251775,-122.3482773,Highland+Park,5.31E+11,Highland Park Elementary School,https://www.schooldigger.com/go/WA/schools/0771001183/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001183/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-50,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,367,0.75,14.99,22.62,31.88,3,1.36,13.35,12.81,NA,31,11.8,55,83,117,11,5,49,47,NA,Elementary,9.59,13.27014
13,14,"47.52915163000006, -122.28903550799998",Van Asselt,K - 5,Elementary,8311 Beacon Ave. S,Seattle,98118,(206) 252-7500,http://vanasseltes.seattleschools.org/,Van Asselt,47.52915163,-122.2890355,Van+Asselt,5.31E+11,Van Asselt Elementary School,https://www.schooldigger.com/go/WA/schools/0771001255/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001255/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,285,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,523,0.77,35.95,42.07,11.66,0.76,0.76,3.25,5.54,NA,38,13.7,188,220,61,4,4,17,29,NA,Elementary,43.21,45.04271
14,15,"47.528632051000045, -122.36615479899996",Chief Sealth Int'l,12-Sep,High School,2600 SW Thistle St.,Seattle,98126,(206) 252-8550,http://chiefsealthhs.seattleschools.org/,Chief Sealth Int'l,47.52863205,-122.3661548,Chief+Sealth,5.31E+11,Chief Sealth International High School,https://www.schooldigger.com/go/WA/schools/0771001149/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001149/search.aspx,9,12,High,No,(n/a),No,Yes,Yes,85,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1221,0.58,20.97,17.85,26.21,1.64,1.72,25.96,5.65,NA,65,18.7,256,218,320,20,21,317,69,NA,High,61.44,62.43767
15,16,"47.53073934400004, -122.28490600899994",Wing Luke,K - 5,Elementary,3701 S Kenyon St.,Seattle,98118,(206) 252-7630,http://lukees.seattleschools.org/,Wing Luke,47.53073934,-122.284906,Wing+Luke,5.31E+11,Wing Luke Elementary School,https://www.schooldigger.com/go/WA/schools/0771001267/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001267/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,-101,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,349,0.79,41.26,39.83,6.3,0.57,1.15,2.29,8.6,NA,27,12.9,144,139,22,2,4,8,30,NA,Elementary,62.01,62.47457
16,17,"47.53165395900004, -122.36604153099995",Denny Int'l,8-Jun,Middle School,2601 SW Kenyon St.,Seattle,98126,(206) 252-9000,http://dennyms.seattleschools.org/,Denny Int'l,47.53165396,-122.3660415,Denny,5.31E+11,David T. Denny International Middle School,https://www.schooldigger.com/go/WA/schools/0771001913/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001913/search.aspx,6,8,Middle,No,(n/a),No,Yes,Yes,14,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,912,0.61,21.16,15.79,28.51,0.99,1.54,26.86,5.15,NA,51,17.8,193,144,260,9,14,245,47,NA,Middle,67.12,64.83671
17,19,"47.53960839100006, -122.35865808299997",Sanislo,K - 5,Elementary,1812 SW Myrtle St.,Seattle,98106,(206) 252-8380,http://sanisloes.seattleschools.org/,Sanislo,47.53960839,-122.3586581,Sanislo,5.31E+11,Sanislo Elementary School,https://www.schooldigger.com/go/WA/schools/0771001244/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001244/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,53,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,281,0.66,22.42,23.49,18.51,1.42,2.49,17.44,14.23,NA,22,12.7,63,66,52,4,7,49,40,NA,Elementary,13.58,17.325
18,20,"47.54025088700007, -122.38849821899998",Gatewood,K - 5,Elementary,4320 SW Myrtle St.,Seattle,98136,(206) 252-9400,http://gatewoodes.seattleschools.org/,Gatewood,47.54025089,-122.3884982,Gatewood,5.31E+11,Gatewood Elementary School,https://www.schooldigger.com/go/WA/schools/0771001172/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001172/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),42,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,405,0.31,14.57,3.21,12.1,0.25,0.25,61.98,7.65,NA,31,13,59,13,49,1,1,251,31,NA,Elementary,68.76,67.858
19,22,"47.54176186800004, -122.37349268699995",West Seattle Elem,K - 5,Elementary,6760 34th Ave. SW,Seattle,98126,(206) 252-9450,http://westseattlees.seattleschools.org/,West Seattle Elem,47.54176187,-122.3734927,West+Seattle+Elem,5.31E+11,West Seattle Elementary School,https://www.schooldigger.com/go/WA/schools/0771001182/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001182/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-44,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,444,0.77,56.76,8.56,14.41,0.9,2.25,13.96,3.15,NA,36,12.3,252,38,64,4,10,62,14,NA,Elementary,42.17,43.90814
20,23,"47.545757311000045, -122.26853424899997",Graham Hill,K - 5,Elementary,5149 S Graham St.,Seattle,98118,(206) 252-7140,http://grahamhilles.seattleschools.org/,Graham Hill,47.54575731,-122.2685342,Graham+Hill,5.31E+11,Graham Hill Elementary School,https://www.schooldigger.com/go/WA/schools/0771001175/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001175/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,193,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,382,0.66,34.03,23.56,14.92,0.52,0,17.8,9.16,NA,34,11.2,130,90,57,2,0,68,35,NA,Elementary,33.71,36.32771
21,24,"47.54632186200007, -122.28198038199997",Aki Kurose,8-Jun,Middle School,3928 S Graham St,Seattle,98118,(206) 252-7700,http://kurosems.seattleschools.org/,Aki Kurose,47.54632186,-122.2819804,Aki+Kurose,5.31E+11,Aki Kurose Middle School,https://www.schooldigger.com/go/WA/schools/0771001249/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001249/search.aspx,6,8,Middle,No,(n/a),No,Yes,Yes,49,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,727,0.74,34.25,39.75,14.44,0.83,1.38,4.4,4.95,NA,46,15.8,249,289,105,6,10,32,36,NA,Middle,47.85,47.14743
22,25,"47.55226236000004, -122.29628697999999",Dearborn Park Int'l,K - 5,Elementary,2820 S Orcas St.,Seattle,98108,(206) 252-6930,http://dearbornes.seattleschools.org/,Dearborn Park Int'l,47.55226236,-122.296287,Dearborn+Park,5.31E+11,Dearborn Park International School,https://www.schooldigger.com/go/WA/schools/0771001158/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001158/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,-94,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,369,0.78,30.35,46.61,8.4,0.81,0,6.5,7.32,NA,24,15.3,112,172,31,3,0,24,27,NA,Elementary,34.28,37.13143
23,26,"47.552372063000064, -122.31391191199998",Cleveland STEM,12-Sep,Option High School,5511 15th Ave. S,Seattle,98108,(206) 252-7800,http://clevelandhs.seattleschools.org/,Cleveland,47.55237206,-122.3139119,Cleveland,5.31E+11,Cleveland High School,https://www.schooldigger.com/go/WA/schools/0771001150/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001150/search.aspx,9,12,High,No,(n/a),No,Yes,Yes,166,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,830,0.66,34.46,44.7,9.88,0.36,1.45,5.66,3.49,NA,46,18,286,371,82,3,12,47,29,NA,High,66.01,65.82967
24,27,"47.552573202000076, -122.38019123299995",Fairmount Park,K - 5,Elementary,3800 SW Findlay St.,Seattle,98126,(206) 252-9300,http://fairmountparkes.seattleschools.org/,Fairmount Park,47.5525732,-122.3801912,Fairmount+Park,5.31E+11,Fairmount Park Elementary School,https://www.schooldigger.com/go/WA/schools/0771003497/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003497/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,384,0.1,5.99,5.21,8.07,0.26,0,66.93,13.54,NA,21,18.2,23,20,31,1,0,257,52,NA,NA,NA,NA
25,28,"47.55812571300004, -122.31889888399996",Maple,K - 5,Elementary,4925 Corson Ave. S,Seattle,98108,(206) 252-8310,http://maplees.seattleschools.org/,Maple,47.55812571,-122.3188989,Maple,5.31E+11,Maple Elementary School,https://www.schooldigger.com/go/WA/schools/0771001209/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001209/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,33,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,468,0.63,10.04,50.43,20.3,0.43,0,11.11,7.69,NA,32,14.6,47,236,95,2,0,52,36,NA,Elementary,76.64,75.55543
26,31,"47.56413274400006, -122.31208319299998",Mercer Int'l,8-Jun,Middle School,1600 S Columbian Way,Seattle,98108,(206) 252-8000,http://mercerms.seattleschools.org/,Mercer Int'l,47.56413274,-122.3120832,Mercer,5.31E+11,Mercer International Middle School,https://www.schooldigger.com/go/WA/schools/0771001136/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001136/search.aspx,6,8,Middle,No,(n/a),No,Yes,Yes,-19,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1075,0.68,23.81,43.91,17.02,0.37,0.37,9.21,5.3,NA,60,17.9,256,472,183,4,4,99,57,NA,Middle,82.31,77.89014
27,32,"47.56590518500008, -122.28338622399997",Hawthorne,K - 5,Elementary,4100 39th Ave. S,Seattle,98118,(206) 252-7210,http://hawthornees.seattleschools.org/,Hawthorne,47.56590519,-122.2833862,Hawthorne,5.31E+11,Hawthorne Elementary School - Seattle,https://www.schooldigger.com/go/WA/schools/0771002269/school.aspx,https://www.schooldigger.com/go/WA/schools/0771002269/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,170,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,364,0.62,33.24,18.96,18.96,0.27,0,18.96,9.62,NA,26,14,121,69,69,1,0,69,35,NA,Elementary,37.8,40.32957
28,33,"47.57324134800007, -122.29057986199996",John Muir,K - 5,Elementary,3301 S Horton St.,Seattle,98144,(206) 252-7400,http://muires.seattleschools.org/,John Muir,47.57324135,-122.2905799,John+Muir,5.31E+11,John Muir Elementary School,https://www.schooldigger.com/go/WA/schools/0771001221/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001221/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,-172,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,436,0.63,44.5,14.91,9.63,0.69,0.69,17.89,11.7,NA,30,14.5,194,65,42,3,3,78,51,NA,Elementary,18.42,22.80371
29,34,"47.57404525600003, -122.30301448899996",Kimball,K - 5,Elementary,3200 23rd Ave. S,Seattle,98144,(206) 252-7280,http://kimballes.seattleschools.org/,Kimball,47.57404526,-122.3030145,Kimball,5.31E+11,Kimball Elementary School,https://www.schooldigger.com/go/WA/schools/0771001169/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001169/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,69,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,429,0.54,22.61,38.46,9.79,0,1.4,18.65,9.09,NA,31,13.8,97,165,42,0,6,80,39,NA,Elementary,67.33,66.48514
30,35,"47.57298061400007, -122.39027968499994",Madison,8-Jun,Middle School,3429 45th Ave. SW,Seattle,98116,(206) 252-9200,http://madisonms.seattleschools.org/,Madison,47.57298061,-122.3902797,Madison,5.31E+11,Madison Middle School,https://www.schooldigger.com/go/WA/schools/0771001207/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001207/search.aspx,6,8,Middle,No,(n/a),No,No,(n/a),-41,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,765,0.3,11.11,11.63,11.63,0.92,0.52,56.99,7.19,NA,37,20.6,85,89,89,7,4,436,55,NA,Middle,74.15,69.54729
31,36,"47.57588767200008, -122.29364639899995",Franklin,12-Sep,High School,3013 S Mount Baker Blvd.,Seattle,98144,(206) 252-6150,http://franklinhs.seattleschools.org/,Franklin,47.57588767,-122.2936464,Franklin,5.31E+11,Franklin High School,https://www.schooldigger.com/go/WA/schools/0771001168/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001168/search.aspx,9,12,High,No,(n/a),No,Yes,Yes,68,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1315,0.67,27.45,53.84,9.05,0.68,0.23,5.86,2.89,NA,65,20.2,361,708,119,9,3,77,38,NA,High,79.08,73.90667
32,38,"47.57714172500005, -122.40782717399998",Alki,K - 5,Elementary,3010 59th Ave SW,Seattle,98116,(206) 252-9050,http://alkies.seattleschools.org/,Alki,47.57714173,-122.4078272,Alki,5.31E+11,Alki Elementary School,https://www.schooldigger.com/go/WA/schools/0771001129/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001129/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),162,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,411,0.21,9.98,2.43,7.79,1.22,0,69.83,8.76,NA,21,19.5,41,10,32,5,0,287,36,NA,Elementary,92.12,89.99314
33,39,"47.57949540100003, -122.38723454599995",Lafayette,K - 5,Elementary,2645 California Ave. SW,Seattle,98116,(206) 252-9500,http://lafayettees.seattleschools.org/,Lafayette,47.5794954,-122.3872345,Lafayette,5.31E+11,Lafayette Elementary School,https://www.schooldigger.com/go/WA/schools/0771001195/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001195/search.aspx,K,5,Elementary,No,(n/a),No,No,(n/a),-86,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,505,0.23,8.51,7.13,8.32,0.4,0.4,64.95,10.3,NA,32,15.7,43,36,42,2,2,328,52,NA,Elementary,81.77,79.82286
34,40,"47.58546920600003, -122.31510488899994",Beacon Hill Int'l,K - 5,Elementary,2025 14th Ave. S,Seattle,98144,(206) 252-2700,http://beaconhilles.seattleschools.org/,Beacon Hill Int'l,47.58546921,-122.3151049,Beacon+Hill,5.31E+11,Beacon Hill International School,https://www.schooldigger.com/go/WA/schools/0771001140/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001140/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,113,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,480,0.57,7.5,28.75,38.75,0.62,0.21,15,9.17,NA,34,14.1,36,138,186,3,1,72,44,NA,Elementary,65.91,65.49043
35,41,"47.59095855000004, -122.29984633199996",Thurgood Marshall,K - 5,Elementary,2401 S Irving St.,Seattle,98144,(206) 252-2800,http://marshalles.seattleschools.org/,Thurgood Marshall,47.59095855,-122.2998463,Thurgood+Marshall,5.31E+11,Thurgood Marshall Elementary,https://www.schooldigger.com/go/WA/schools/0771002347/school.aspx,https://www.schooldigger.com/go/WA/schools/0771002347/search.aspx,PK,5,Elementary,No,(n/a),No,No,(n/a),-2,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,511,0.31,18.98,17.81,6.65,0.39,0.2,44.62,11.35,NA,35,14.6,97,91,34,2,1,228,58,NA,Elementary,96.87,93.99571
36,43,"47.60120053400004, -122.31548472099996",Bailey Gatzert,K - 5,Elementary,1301 E Yesler Way,Seattle,98122,(206) 252-2810,http://gatzertes.seattleschools.org/,Bailey Gatzert,47.60120053,-122.3154847,Bailey+Gatzert,5.31E+11,Bailey Gatzert Elementary School,https://www.schooldigger.com/go/WA/schools/0771001173/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001173/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,126,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,347,0.68,55.33,17.87,17.87,0.29,0,3.75,4.9,NA,31,11.1,192,62,62,1,0,13,17,NA,Elementary,23.36,26.97114
37,44,"47.60210319200007, -122.29181362599996",Leschi,K - 5,Elementary,135 32nd Ave.,Seattle,98122,(206) 252-2950,http://leschies.seattleschools.org/,Leschi,47.60210319,-122.2918136,Leschi,5.31E+11,Leschi Elementary School,https://www.schooldigger.com/go/WA/schools/0771001201/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001201/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,131,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,384,0.45,47.4,4.95,5.73,0.52,0.26,29.43,11.72,NA,27,14.2,182,19,22,2,1,113,45,NA,Elementary,31.15,33.72543
38,45,"47.60541951400006, -122.30190468799998",Garfield,12-Sep,High School,400 23rd Ave.,Seattle,98122,(206) 252-2270,http://garfieldhs.seattleschools.org/,Garfield,47.60541951,-122.3019047,Garfield,5.31E+11,Garfield High School,https://www.schooldigger.com/go/WA/schools/0771001171/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001171/search.aspx,9,12,High,No,(n/a),No,Yes,No,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,1620,0.35,28.02,18.46,8.21,0.62,0.12,38.4,6.17,NA,73,22.1,454,299,133,10,2,622,100,NA,High,86.93,81.0575
39,46,"47.60842417600003, -122.30092570999994",Nova at Mann,12-Sep,Option High School,2410 E Cherry St.,Seattle,98122,(206) 252-3500,http://novahs.seattleschools.org/,Mann,47.60842418,-122.3009257,Nova+at+Mann,5.31E+11,Nova High School,https://www.schooldigger.com/go/WA/schools/0771001226/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001226/search.aspx,9,12,High,No,(n/a),No,No,(n/a),NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,341,0.27,7.33,7.92,7.62,1.76,0,66.86,8.5,NA,18,18.9,25,27,26,6,0,228,29,NA,High,21.9,30.666
40,47,"47.61223677600003, -122.29086890499997",Madrona K-8,K - 8,Elementary,1121 33rd Ave.,Seattle,98122,(206) 252-3100,http://madronak8.seattleschools.org/,Madrona,47.61223678,-122.2908689,Madrona,5.31E+11,Madrona K-8 School,https://www.schooldigger.com/go/WA/schools/0771001216/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001216/search.aspx,PK,8,Elementary,No,(n/a),No,Yes,Yes,99,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,299,0.54,49.5,1,9.03,1.67,0,25.75,13.04,NA,22,13.5,148,3,27,5,0,77,39,NA,Elementary,24.69,27.80122
